k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm
734,2.3852447794681098e-18,2.8609792490763984e-17,2.9215422001311504e-17,True,False,stacked_exact,False,16.975445312959277,679.0178125183711,0.08604221735354473,0.0557769739668255,0.0,5.162832548530695,0.0
735,1.951563910473908e-18,0.0,4.80706672065709e-18,True,False,stacked_exact,False,17.04316270849057,681.7265083396228,0.08633272006000625,0.05597261614899155,0.0,5.18289707479362,0.0
736,1.388159893277059e-17,2.7755575615628914e-17,3.229834587373907e-17,True,False,stacked_exact,False,17.1100368118466,684.4014724738639,0.08661974785058038,0.056165809440358566,0.0,5.202754782694667,0.0
737,9.75781955236954e-19,5.551115123125783e-17,5.59722059048458e-17,True,False,stacked_exact,False,17.176108920006705,687.0443568002682,0.08690342032566764,0.05635664558535551,0.0,5.222400924010814,0.0
738,1.8431436932253575e-18,2.7755575615628914e-17,2.8270288110952586e-17,True,False,stacked_exact,False,17.241425726287645,689.6570290515059,0.08718378306649727,0.056545152579956244,0.0,5.241824609441654,0.0
739,3.686287386450715e-18,0.0,8.2919251965689e-18,True,False,stacked_exact,False,17.306003629548893,692.2401451819558,0.08746087841307218,0.05673135470883824,0.0,5.261034914803269,0.0
740,3.3610267347050637e-18,0.0,7.156574405976703e-18,True,False,stacked_exact,False,17.36984622561308,694.7938490245233,0.08773468313118006,0.05691520730998937,0.0,5.28004197499397,0.0
741,2.168404344971009e-19,2.7755575615628914e-17,2.8116561387289985e-17,True,False,stacked_exact,False,17.432934389588695,697.3173755835478,0.08800530126129417,0.057096785144581275,0.0,5.2988708573091765,0.0
742,4.9873299934333204e-18,5.594315114139762e-17,5.629955452513357e-17,True,False,stacked_exact,False,17.495298218690607,699.811928747624,0.08827287106986342,0.05727620964377284,0.0,5.317510196961905,0.0
743,5.558828352123378e-17,0.0,5.575169045512064e-17,True,False,stacked_exact,False,17.556989794206856,702.2795917682741,0.08853752214543771,0.057453610033103376,0.0,5.335936362782377,0.0
744,2.710505431213761e-18,6.938893903907228e-18,7.857820047542857e-18,True,False,stacked_exact,False,17.61804713868881,704.7218855475523,0.08879918037789483,0.057628917499109464,0.0,5.354130329079477,0.0
745,1.4014335379724142e-17,6.938893903907228e-18,1.4201051132294283e-17,True,False,stacked_exact,False,17.67842836513649,707.1371346054594,0.0890579235602093,0.057802197500126926,0.0,5.372130686632716,0.0
746,2.0599841277224584e-18,5.594315114139762e-17,5.618111602789013e-17,True,False,stacked_exact,False,17.73813480411341,709.5253921645364,0.08931371693408106,0.057973404196538715,0.0,5.389935820316569,0.0
747,1.3879481770324007e-17,5.594315114139762e-17,5.77175782108113e-17,True,False,stacked_exact,False,17.79714377467968,711.8857509871871,0.08956674635410448,0.05814270637247648,0.0,5.407567847122607,0.0
748,3.2526065174565133e-19,0.0,3.8878847442169856e-18,True,False,stacked_exact,False,17.85551595310943,714.2206381243772,0.08981712250512784,0.058310222112423975,0.0,5.424989569365241,0.0
749,2.168404344971009e-19,5.551115123125783e-17,5.567261902555414e-17,True,False,stacked_exact,False,17.913286913272678,716.5314765309073,0.09006473676421141,0.058475852806835,0.0,5.442181881362517,0.0
750,2.168404344971009e-18,0.0,4.6476515951349844e-18,True,False,stacked_exact,False,17.970393256216347,718.8157302486538,0.09030962753616424,0.058639623078584474,0.0,5.459190153622179,0.0
751,1.4140008279041524e-17,2.8609792490763984e-17,3.324406664438744e-17,True,False,stacked_exact,False,18.026835361334335,721.0734144533733,0.09055173396000187,0.05880145521716296,0.0,5.476021325003602,0.0
752,6.505213034913027e-19,2.7755575615628914e-17,2.849487919673993e-17,True,False,stacked_exact,False,18.082590534782646,723.3036213913061,0.09079105005243464,0.058961313907367675,0.0,5.49270043414985,0.0
753,2.6020852139652106e-18,0.0,3.833933677712467e-18,True,False,stacked_exact,False,18.13764894192231,725.5059576768925,0.0910277046525581,0.059119298692933274,0.0,5.509238374708925,0.0
754,7.589415207398531e-19,0.0,1.1892303189151851e-18,True,False,stacked_exact,False,18.19206951277747,727.6827805110986,0.09126192793363477,0.05927563055451409,0.0,5.525608188503944,0.0
755,1.1926223897340549e-18,0.0,3.058626686643491e-18,True,False,stacked_exact,False,18.24594994703198,729.8379978812792,0.09149360215696767,0.05943020145291216,0.0,5.541756080077365,0.0
756,2.710505431213761e-18,5.551115123125783e-17,5.588106652550014e-17,True,False,stacked_exact,False,18.29924382047558,731.969752819023,0.09172290122609074,0.05958317477058288,0.0,5.5577288626879255,0.0
757,2.168404344971009e-19,5.551115123125783e-17,5.586787781134088e-17,True,False,stacked_exact,False,18.351992801116406,734.0797120446562,0.09194982791533761,0.05973455992653411,0.0,5.573501735581702,0.0
758,3.144186300207963e-18,5.594315114139762e-17,5.610321005036042e-17,True,False,stacked_exact,False,18.404192396441736,736.1676958576696,0.09217452423985639,0.059884503032013675,0.0,5.5890873679591175,0.0
759,4.0115480381963664e-18,0.0,5.359969057738582e-18,True,False,stacked_exact,False,18.45587335998366,738.2349343993465,0.09239684032716292,0.060032865323273295,0.0,5.60446318137332,0.0
760,2.168404344971009e-18,2.7755575615628914e-17,2.811046597424562e-17,True,False,stacked_exact,False,18.50696382721668,740.2785530886673,0.09261696644138048,0.06017982541169371,0.0,5.619683011150221,0.0
761,2.2768245622195593e-18,2.7755575615628914e-17,2.803347278296604e-17,True,False,stacked_exact,False,18.557512384398205,742.3004953759283,0.09283472611578089,0.06032520860021404,0.0,5.63471007669495,0.0
762,7.589415207398531e-19,5.551115123125783e-17,5.564283052183432e-17,True,False,stacked_exact,False,18.607447183671294,744.2978873468517,0.09305024841399336,0.0604691168065385,0.0,5.649599136669886,0.0
763,4.336808689942018e-19,5.551115123125783e-17,5.594828882031774e-17,True,False,stacked_exact,False,18.656806334293343,746.2722533717338,0.09326362983756244,0.06061163626489923,0.0,5.6643283477915505,0.0
764,1.6263032587282567e-18,0.0,5.04523842203029e-18,True,False,stacked_exact,False,18.705626631542103,748.225065261684,0.09347483104975694,0.06075272233469217,0.0,5.67887788818844,0.0
765,3.7947076036992655e-18,0.0,4.6123044276421824e-18,True,False,stacked_exact,False,18.753893216811026,750.1557286724409,0.0936839993889296,0.06089250927051203,0.0,5.693270432130442,0.0
766,1.418317130462077e-17,2.8609792490763984e-17,3.026686131620611e-17,True,False,stacked_exact,False,18.80165337948918,752.0661351795673,0.09389098835240516,0.06103084675622558,0.0,5.707480913107639,0.0
767,2.168404344971009e-18,0.0,4.6544086009630264e-18,True,False,stacked_exact,False,18.84884992069376,753.9539968277504,0.09409593234396381,0.061167842855134255,0.0,5.721560963267459,0.0
768,6.7220534694101275e-18,0.0,7.72152613642704e-18,True,False,stacked_exact,False,18.895525683200702,755.821027328028,0.0942988182507384,0.061303472548685886,0.0,5.735489191250115,0.0
769,6.505213034913027e-19,2.8609792490763984e-17,2.919254901814377e-17,True,False,stacked_exact,False,18.94167759060469,757.6671036241877,0.09449963035035634,0.06143769913825515,0.0,5.749276967173126,0.0
770,2.3852447794681098e-18,0.0,4.1895252706269904e-18,True,False,stacked_exact,False,18.987299206200426,759.4919682480171,0.09469861766749355,0.061570752192835435,0.0,5.762940985860523,0.0
771,1.4094628242311558e-18,2.7755575615628914e-17,2.851108313749782e-17,True,False,stacked_exact,False,19.032487803778857,761.2995121511543,0.09489574110611257,0.06170260263579905,0.0,5.776424488621733,0.0
772,3.469446951953614e-18,2.7755575615628914e-17,2.8023666975163804e-17,True,False,stacked_exact,False,19.077226984281005,763.0890793712404,0.09509091748792019,0.06183316085266607,0.0,5.789747882698559,0.0
773,9.149150382524876e-18,0.0,1.1056059094277546e-17,True,False,stacked_exact,False,19.121469583663984,764.8587833465594,0.09528422983858505,0.061962488351430256,0.0,5.802951808795922,0.0
774,1.6081682502910305e-17,6.938893903907228e-18,1.6768127826286688e-17,True,False,stacked_exact,False,19.16524073980497,766.6096295921988,0.09547581259359604,0.0620907117255957,0.0,5.816025974101196,0.0
775,1.392893903365287e-17,0.0,1.1829766013487572e-17,True,False,stacked_exact,False,19.208591300058337,768.3436520023336,0.09566551293051219,0.06221767961277513,0.0,5.82894002503928,0.0
776,7.007167689862071e-18,0.0,5.715671664686943e-18,True,False,stacked_exact,False,19.25145680722388,770.0582722889553,0.09585334317921973,0.06234337751132763,0.0,5.84174483054906,0.0
777,7.449502554017965e-18,2.7755575615628914e-17,2.857961393268064e-17,True,False,stacked_exact,False,19.29383683646708,771.753473458683,0.09603945956579926,0.0624679381903941,0.0,5.854450172931409,0.0
778,3.2526065174565133e-18,0.0,6.051004525468249e-18,True,False,stacked_exact,False,19.335793583540536,773.4317433416214,0.09622382294794303,0.06259131598982921,0.0,5.867018745943698,0.0
779,7.007167689862071e-18,0.0,3.714796723128042e-18,True,False,stacked_exact,False,19.377315665458124,775.0926266183251,0.09640636151717397,0.06271341753334393,0.0,5.87946815481533,0.0
780,2.710505431213761e-18,2.7755575615628914e-17,2.790289027754984e-17,True,False,stacked_exact,False,19.418373928482094,776.7349571392838,0.09658725956403845,0.06283439734848019,0.0,5.891831198991063,0.0
781,4.336808689942018e-19,0.0,4.255063183448631e-18,True,False,stacked_exact,False,19.45904290220901,778.3617160883605,0.09676657509332155,0.06295431062763773,0.0,5.904067653905212,0.0
782,1.3898524622082248e-17,2.8609792490763984e-17,3.408339868312744e-17,True,False,stacked_exact,False,19.499350887868285,779.9740355147314,0.09694421751982113,0.06307306497036524,0.0,5.916168100451276,0.0
783,4.336808689942018e-19,5.551115123125783e-17,5.561137696786717e-17,True,False,stacked_exact,False,19.5392564387439,781.5702575497562,0.09712020428621894,0.06319065833302588,0.0,5.9281704568009115,0.0
