k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm
44,3.8163916471489756e-17,2.220446049250313e-16,3.134300229406183e-16,True,False,stacked_exact,False,378.1550124483379,15126.200497933518,1.5982059429004518,1.0815614413680013,2.220446049250313e-16,129.66226055587327,0.0,1.4584426417218783,380.98612192209123,119.64796823797555,2.220446049250313e-16,True,False,333.2697188878808,3.8163916471489756e-17,2.220446049250313e-16,True,1.3224967364774989,exact_unbounded_fallback_bounded_ls,333.2697188878808,79.67229217163414,1.3224967364774989
45,4.5102810375396984e-17,0.0,2.2865451882424764e-16,True,False,stacked_exact,False,374.35421447055586,14974.168578822235,1.5734016543558718,1.0598485164999383,0.0,128.96214950676227,0.0,1.4300656966224887,377.23107712650665,118.63725272874561,3.1401849173675503e-16,True,False,329.3679086479744,4.5102810375396984e-17,0.0,True,1.29841901957087,exact_unbounded_fallback_bounded_ls,329.3679086479744,78.73951566115652,1.29841901957087
46,3.469446951953614e-17,2.220446049250313e-16,2.5880609099975027e-16,True,False,stacked_exact,False,370.4365426320107,14817.461705280428,1.5481008998005181,1.0380789673520359,2.220446049250313e-16,128.04841859650176,0.0,1.403374613584346,373.3582471644171,117.56804122464419,1.1102230246251565e-16,True,False,325.424913191437,3.469446951953614e-17,2.220446049250313e-16,True,1.275689152238385,exact_unbounded_fallback_bounded_ls,325.424913191437,77.79689330982804,1.275689152238385
47,1.5612511283791264e-17,4.440892098500626e-16,4.65592683532036e-16,True,False,stacked_exact,False,366.38728679013786,14655.491471605515,1.5223891605812852,1.0163647536703106,4.440892098500626e-16,126.9334837185377,0.0,1.3781299350379304,369.35288701042225,116.43640138984325,3.3306690738754696e-16,True,False,321.4257648717108,1.5612511283791264e-17,4.440892098500626e-16,True,1.2540463867179683,exact_unbounded_fallback_bounded_ls,321.4257648717108,76.84084691464349,1.2540463867179683
48,2.6020852139652106e-17,4.440892098500626e-16,4.500552032741019e-16,True,False,stacked_exact,False,362.19559886014224,14487.823954405689,1.496343357013176,0.994802525199019,4.440892098500626e-16,125.63119503701894,0.0,1.3541092544664544,365.2041760025573,115.2398441903096,2.220446049250313e-16,True,False,317.35830441785464,2.6020852139652106e-17,4.440892098500626e-16,True,1.2332565588708981,exact_unbounded_fallback_bounded_ls,317.35830441785464,75.86846964989351,1.2332565588708981
49,2.0816681711721685e-17,2.220446049250313e-16,4.1923356295054194e-16,True,False,stacked_exact,False,357.8541828546993,14314.167314187973,1.4700339527644963,0.9734752085621885,2.220446049250313e-16,124.15668133179852,0.0,1.3311074032763175,360.9048088740043,113.97718593113936,0.0,True,False,313.2128407367169,2.0816681711721685e-17,2.220446049250313e-16,True,1.2131122696357406,exact_unbounded_fallback_bounded_ls,313.21284073672007,74.87744473862229,1.2131122696357406
50,2.0816681711721685e-17,4.440892098500626e-16,5.335696742594844e-16,True,False,stacked_exact,False,353.3592277972365,14134.369111889457,1.4435254407517144,0.9524523512617656,4.440892098500626e-16,122.52568058100424,0.0,1.3089430976829528,356.45101604199175,112.64846567709729,0.0,True,False,308.9824479899118,2.0816681711721685e-17,4.440892098500626e-16,True,1.1934370891899424,exact_unbounded_fallback_bounded_ls,308.9824479899118,73.86611647258843,1.1934370891899424
51,1.9081958235744878e-17,7.021666937153402e-16,8.221382842627658e-16,True,False,stacked_exact,False,348.7101483734243,13948.405934936973,1.4168776066020097,0.9317913569943606,6.661338147750939e-16,120.7544274182634,0.0,1.2874570638227991,351.8421840451631,111.25481535749218,2.482534153247273e-16,True,False,304.66266280582175,1.9081958235744878e-17,6.661338147750939e-16,True,1.174083162097726,exact_unbounded_fallback_bounded_ls,304.66266280582175,72.8334178270169,1.174083162097726
52,1.9081958235744878e-17,0.0,1.0611479415297351e-16,True,False,stacked_exact,False,343.90928277785434,13756.371311114175,1.3901455564997234,0.9115376968905055,0.0,118.85928734020118,0.0,1.2665130204923645,347.08064623880915,109.79834592836612,0.0,True,False,300.25145285101115,1.9081958235744878e-17,0.0,True,1.1549305469816362,exact_unbounded_fallback_bounded_ls,300.25145285101127,71.77886294719501,1.1549305469816362
53,5.0306980803327406e-17,3.1401849173675503e-16,4.673036368463278e-16,True,False,stacked_exact,False,338.96137586316866,13558.455034526747,1.3633808228490278,0.8917262242144572,2.220446049250313e-16,116.85680061807236,0.0,1.2459926997308715,342.17115794224515,108.28199521851971,1.1102230246251565e-16,True,False,295.74871255016996,5.0306980803327406e-17,2.220446049250313e-16,True,1.135882375117206,exact_unbounded_fallback_bounded_ls,295.74871255016996,70.70242659402514,1.135882375117206
