Qc,Qm,Etha,T
471.6,338.0,3.7351734787733615,322.8229594338705
471.6,338.0,3.7351736158400475,322.8229588394407
471.6,338.0,3.735173743955811,322.8229582838315
471.6,338.0,3.7351738637051395,322.8229577645077
471.6,338.0,3.7351739756343587,322.82295727909957
471.6,338.0,3.7351740802541227,322.82295682539217
471.6,338.0,3.7351741780417482,322.8229564013152
471.6,338.0,3.735174269443381,322.8229560049336
471.6,338.0,3.7351743548760385,322.8229556344386
471.6,338.0,3.7351744347295104,322.82295528813967
471.6,338.0,3.735174509368129,322.8229549644566
471.6,338.0,3.73517457913244,322.82295466191243
471.6,338.0,3.735174644340752,322.8229543791266
471.6,338.0,3.7351747052905906,322.8229541148088
471.6,338.0,3.735174762260048,322.82295386775286
471.6,338.0,3.7351748155090596,322.8229536368315
471.6,338.0,3.7351748652805887,322.82295342099104
471.6,338.0,3.7351749118017303,322.82295321924653
471.6,338.0,3.735174955284751,322.8229530306774
471.6,338.0,3.735174995928054,322.82295285442325
471.6,338.0,3.735175033917088,322.82295268967977
471.6,338.0,3.7351750694251935,322.82295253569526
471.6,338.0,3.7351751026143862,322.82295239176705
471.6,338.0,3.7351751336361065,322.8229522572384
471.6,338.0,3.7351751626319007,322.82295213149547
471.6,338.0,3.7351751897340746,322.8229520139645
471.6,338.0,3.7351752150662936,322.8229519041091
471.6,338.0,3.7351752387441466,322.82295180142813
471.6,338.0,3.735175260875673,322.82295170545297
471.6,338.0,3.7351752815618595,322.8229516157457
471.6,338.0,3.735175300897094,322.822951531897
471.6,338.0,3.7351753189696013,322.8229514535242
471.6,338.0,3.735175335861848,322.8229513802697
471.6,338.0,3.735175351650914,322.8229513117993
471.6,338.0,3.735175366408842,322.8229512478005
471.6,338.0,3.7351753802029726,322.8229511879813
